name l b n16 n50 n84 f16 f50 f84 m16 m50 m84 d16 d50 d84 p16 p50 p84 sfore16 sfore50 sfore84 sback16 sback50 sback84 New_Sightline? x y z
Chamaeleon 303.0 -16.7 0.6084 0.6166 0.6249 0.2272 0.3864 0.3934 5.935 6.0378 6.1197 153 161 167 0.0206 0.0267 0.0343 0.0364 0.0485 0.0657 0.0536 0.0568 0.0599 1 83 -129 -46
Circinus 318.4 -3.2 0.4466 0.4527 0.4593 0.4244 0.4304 0.4367 9.1638 9.1728 9.1773 680 683 684 0.0245 0.0298 0.0355 0.0241 0.0251 0.0261 0.1114 0.1163 0.1214 1 509 -452 -38
Circinus 316.9 -3.9 0.4524 0.4557 0.4593 0.4825 0.4862 0.49 9.1377 9.1469 9.1523 672 675 676 0.0783 0.0873 0.0972 0.0187 0.0199 0.0209 0.0686 0.0714 0.0745 1 491 -460 -45
Coalsack 302.9 -2.6 0.1775 0.1792 0.1808 0.1697 0.1714 0.1731 6.3059 6.3823 6.4629 182 188 196 0.0331 0.0379 0.0437 0.0215 0.0264 0.0324 0.0403 0.0414 0.0424 1 102 -157 -8
Coalsack 301.4 -2.6 0.3341 0.3365 0.3388 0.1306 0.1634 0.1981 6.2293 6.3115 6.3675 176 182 187 0.0148 0.0179 0.0216 0.0173 0.021 0.0256 0.0768 0.0784 0.08 1 94 -155 -8
Coalsack 301.4 3.1 0.1886 0.1901 0.1916 0.1313 0.1324 0.1335 6.402 6.4277 6.4501 190 192 194 0.0217 0.0254 0.0295 0.0209 0.0247 0.0295 0.0238 0.0245 0.0253 1 99 -163 10
Coalsack 302.8 1.8 0.1085 0.1094 0.1104 0.2283 0.2304 0.2327 6.2571 6.3624 6.5035 178 187 199 0.1089 0.1234 0.1349 0.0308 0.0393 0.0452 0.0501 0.0518 0.0539 1 101 -157 5
Coalsack 302.9 3.1 0.2055 0.2074 0.2092 0.1588 0.1604 0.1619 6.3531 6.4075 6.4574 186 191 195 0.0188 0.0224 0.0268 0.0268 0.0315 0.0368 0.0347 0.0357 0.0366 1 103 -160 10
Coalsack 300.0 3.1 0.1918 0.1933 0.1948 0.1652 0.1666 0.168 6.3464 6.4382 6.461 185 193 195 0.0211 0.0246 0.0289 0.0231 0.0279 0.0338 0.0301 0.0309 0.0318 1 96 -166 10
Corona_Australis 0.8 -20.1 0.6166 0.6227 0.6289 0.21 0.2133 0.2156 5.8734 5.9633 6.0238 149 155 160 0.026 0.0315 0.038 0.0239 0.0292 0.0357 0.0325 0.0341 0.0356 1 145 2 -53
Corona_Australis 359.5 -17.8 0.461 0.4674 0.4739 0.1292 0.1638 0.1666 5.7617 5.839 5.9231 142 147 152 0.0306 0.0375 0.0456 0.0225 0.031 0.0413 0.048 0.05 0.0521 1 139 -1 -44
